OBJECTID,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
68,ANP Blackstone Energy Project,USA0055212,578.000000000000000,42.059899999999999,-71.515799999999999,Gas,,,,2001.000000000000000,ANP Blackstone Energy Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,38655,2017,1872.344,2148.424,2095.413,1524.228,2017.379,
69,AP North Lake I  LP,USA0059610,20.000000000000000,33.740000000000002,-117.010599999999997,Solar,,,,2015.000000000000000,AP North Lake I  LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,66390,2017,,,15.048,,41.996,8.918553359000001
70,APG Combined Heat and Power Plant,USA0061282,7.900000000000000,39.397500000000001,-76.299099999999996,Gas,Oil,,,2017.000000000000000,US Dept of Army  Garrison  APG,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,16.112,50.523,55.659206589999997
71,ASTI,USA0058889,1.000000000000000,38.761400000000002,-122.975300000000004,Solar,,,,2009.000000000000000,Perpetual Energy Systems,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,59529,2017,1.589,1.44936,1.533,1.541,1.518,
72,AT&T Anaheim,USA0061154,1.300000000000000,33.836399999999998,-117.916899999999998,Gas,,,,2016.000000000000000,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,2.728,10.401,9.159109945999999
73,AT&T Holger,USA0061153,1.300000000000000,37.417600000000000,-121.944500000000005,Gas,,,,2016.000000000000000,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,4.229,10.879,9.159109945999999
74,AV Solar Ranch One,USA0057378,253.000000000000000,34.780299999999997,-118.424400000000006,Solar,,,,2014.000000000000000,AV Solar Ranch 1 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,243.697,619.408,614.294,607.949,
75,AVS Lancaster 1,USA0060085,3.700000000000000,34.748899999999999,-117.973600000000005,Solar,,,,2017.000000000000000,Tesla Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,70684,2017,,,,0,8.472,1.649932371000000
76,Abbott TP 3,USA0003581,2.800000000000000,29.594000000000001,-98.040700000000001,Hydro,,,,1927.000000000000000,Guadalupe Blanco River Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,21548,2017,3.99,2.767,10.238,13.634,11.599,
77,Aberdeen CT,USA0003338,111.000000000000000,45.429900000000004,-98.494000000000000,Gas,Oil,,,2003.918918999999960,NorthWestern Energy - (SD),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,28420,2017,8.04,4.093,7.759,9.083,10.379,
78,Abiquiu Dam,USA0007789,15.600000000000000,36.239899999999999,-106.423000000000002,Hydro,,,,1993.230769000000009,Los Alamos County,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,25063,2017,26.034,24.904,13.74,0,50.851,
79,Acadia Energy Center,USA0055173,1389.200000000000045,30.428599999999999,-92.413100000000000,Gas,,,,2002.000000000000000,Cleco Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3805.772,4515.316,6585.897,6667.548,4767.264,
80,Acton Solar Landfill,USA0059543,1.600000000000000,42.473300000000002,-71.430599999999998,Solar,,,,2014.000000000000000,Heliovaas LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,2.03,2.022,2.123,1.941,
81,Actus Lend Lease DMAFB,USA0058632,3.000000000000000,32.182499999999997,-110.863299999999995,Solar,,,,2010.000000000000000,Tesla Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,4.93317,4.56687,4.39659,4.481,4.402,
82,Acushnet AD Makepeace,USA0058270,4.700000000000000,41.798900000000003,-70.743600000000001,Solar,,,,2012.000000000000000,Ahana Renewables  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.867,5.835,5.624,6.089,5.819,
83,Acushnet Hawes Reed Road,USA0058271,1.000000000000000,41.662199999999999,-71.042500000000004,Solar,,,,2012.000000000000000,Ahana Renewables  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.702,1.63251,1.663,1.763,1.449,
84,Acushnet- High Hill,USA0059128,3.200000000000000,41.714399999999998,-70.997200000000007,Solar,,,,2013.000000000000000,Ahana Renewables  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3.56,4.38471,4.3,4.526,4.19,
85,Acushnet-Braley Road 1,USA0059121,1.900000000000000,41.751700000000000,-70.970600000000005,Solar,,,,2013.000000000000000,Ahana Renewables  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,2.319,2.539,2.529,2.705,2.437,
86,Ada Cogeneration LP,USA0010819,33.100000000000001,42.962699999999998,-85.494100000000003,Gas,,,,1990.000000000000000,Ada Cogeneration Ltd Partnership,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,21209,2017,181.253,202.987,166.84,162.129,165.704,
87,Ada Dam,USA0050433,1.400000000000000,42.950600000000001,-85.485900000000001,Hydro,,,,1984.000000000000000,STS HydroPower Ltd-Ada Dam,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33812,2017,6.462,6.618,5.366,7.101,3.708,
88,Adair Wind Farm,USA0056810,174.800000000000011,41.423600000000000,-94.665000000000006,Wind,,,,2009.000000000000000,MidAmerican Energy Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,60535,2017,523.247,490.31,470.368,485.613,471.946,
89,Adams Ave MS and HS,USA0060772,3.100000000000000,39.411400000000000,-74.530900000000003,Solar,,,,2011.580645000000004,Marina Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,4.839,5.085,1.382375771000000
90,Adams Community Solar Garden III LLC,USA0059850,1.200000000000000,39.786700000000003,-104.587699999999998,Solar,,,,2015.000000000000000,Adams Community Solar Garden III LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,0.669,2.935,2.447,0.535113202000000
91,Adams Community Solar Garden LLC,USA0059849,1.200000000000000,39.787599999999998,-104.585899999999995,Solar,,,,2015.000000000000000,Adams Community Solar Garden LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,0.694,2.935,0.781,0.535113202000000
92,Adams Farm Solar,USA0059775,3.000000000000000,42.600000000000001,-72.200000000000003,Solar,,,,2013.000000000000000,Adams Farm Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,3.669,3.911,4.195,3.816,
